FIELD LABEL,FIELD NAME,DATA TYPE,,,,,,,,,,,,,,,,,,,,
Account,Account,LookUp(Account),,,,,,,,,,,,,,,,,,,,
Contact Identifier,Contact_Identifier__c,Text Area (External Id),,,,,,,,,,,,,,,,,,,,
Created Date,CreatedDate,Date/Time (yyyy-MM-ddTHH:mm:ssZ),,,,,,,,,,,,,,,,,,,,
Date of Birth,BirthDate,Date,,,,,,,,,,,,,,,,,,,,
Do Not Call,DoNotCall,Checkbox,,,,,,,,,,,,,,,,,,,,
Email,Email,Email (Needs correct email format),,,,,,,,,,,,,,,,,,,,
Email Opt In,Email_Opt_In__c,Checkbox,,,,,,,,,,,,,,,,,,,,
Email Opt Out,HasOptedOutOfEmail,Checkbox,,,,,,,,,,,,,,,,,,,,
Fax,Fax,Phone Number,,,,,,,,,,,,,,,,,,,,
First Name,FirstName,Text (80),,,,,,,,,,,,,,,,,,,,
Gender,Gender__c,Picklist,,,,,,,,,,,,,,,,,,,,
Job Title,Title,Text (128 ch),,,,,,,,,,,,,,,,,,,,
Last Modified By,LastModifiedById,Lookup(User),,,,,,,,,,,,,,,,,,,,
Last Modified Date,LastModifiedDate,Date/Time (yyyy-MM-ddTHH:mm:ssZ),,,,,,,,,,,,,,,,,,,,
Last Name,LastName,Text (80),,,,,,,,,,,,,,,,,,,,
Mailing City,MailingCity,Text (40 ch),,,,,,,,,,,,,,,,,,,,
Mailing Country,MailingCountry,Text (80 ch),,,,,,,,,,,,,,,,,,,,
Mailing Postal Code,MailingPostalCode,Text (20 ch),,,,,,,,,,,,,,,,,,,,
Mailing State,MailingState,Text (80 ch),,,,,,,,,,,,,,,,,,,,
Mailing Street,MailingStreet,Text (255 ch),,,,,,,,,,,,,,,,,,,,
Medical Consent Description,Medical_Consent_Description__c,Text Area(255),,,,,,,,,,,,,,,,,,,,
Medical Consent Given,Medical_Consent_Given__c,Checkbox,,,,,,,,,,,,,,,,,,,,
Notes,Notes__c,Long Text Area(32768),,,,,,,,,,,,,,,,,,,,
Other City,OtherCity,Text (40 ch),,,,,,,,,,,,,,,,,,,,
Other Country,OtherCountry,Text (80 ch),,,,,,,,,,,,,,,,,,,,
Other Postal Code,OtherPostalCode,Text (20 ch),,,,,,,,,,,,,,,,,,,,
Other State,OtherState,Text (80 ch),,,,,,,,,,,,,,,,,,,,
Other Street,OtherStreet,Text (255 ch),,,,,,,,,,,,,,,,,,,,
Owner,OwnerId,"Lookup(User,Group)",,,,,,,,,,,,,,,,,,,,
Phone,Phone,Phone Number,,,,,,,,,,,,,,,,,,,,
Salutation,Salutation,"Mr, Mrs etc",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
